project_entity_id,country_iso3,year,canonical_title,member_count,source_count,sources,member_record_keys,match_basis,amount_policy
PM-9FD6D032DD5BCD,,2006,China Eximbank provides $26 million for Oyo Hospital Construction Project (Linked to Record ID#60219),2,2,aiddata|chapo,aiddata:68871|chapo:68871,direct_reference,no_cross_source_amount_selected_or_summed
PM-A314E479C07298,,2006,"Chinese Government donates equipment worth RMB 800,000 to Central African Republic for 12th medical team (Linked to Record ID#36230)",2,2,aiddata|chapo,aiddata:87605|chapo:87605,direct_reference,no_cross_source_amount_selected_or_summed
PM-B505FDEA4A8012,,2006,China donates medical equipment to Congo,2,2,aiddata|chapo,aiddata:1075|chapo:1075,direct_reference,no_cross_source_amount_selected_or_summed
PM-BE2E03823672A0,,2006,Chinese Government provides RMB 100 million grant for Elisabeth Domitien Hospital Construction Project,2,2,aiddata|chapo,aiddata:34151|chapo:34151,direct_reference,no_cross_source_amount_selected_or_summed
PM-D904602E7F6D73,,2006,Chinese Government provides RMB 41.2 million grant for Friendship Hospital Rehabilitation and Expansion Project,2,2,aiddata|chapo,aiddata:32766|chapo:32766,direct_reference,no_cross_source_amount_selected_or_summed
SRC-087CB1D9DF5259,,2006,Economic and Technical Cooperation Agreement,1,1,cla,cla:CF.015,source_record,no_cross_source_amount_selected_or_summed
SRC-190673AF59561A,,2006,Joint Cooperation Projects,1,1,cla,cla:CI.003,source_record,no_cross_source_amount_selected_or_summed
SRC-1A11D1105A228C,,2006,"China Eximbank provides $85 million loan for Owando-Makoua Section of Owando-Makoua-Ouesso Road (RN2) Construction Project (Linked to Record ID#60219, #72791, #72792)",1,1,aiddata,aiddata:12892,source_record,no_cross_source_amount_selected_or_summed
SRC-28D87C3E2A09D6,,2006,"China Eximbank provides $76 million loan for Makoua-Mambili Section of Owando-Makoua-Ouesso Road (RN2) Construction Project (Linked to Record ID#60219, #72792, #12892)",1,1,aiddata,aiddata:72791,source_record,no_cross_source_amount_selected_or_summed
SRC-3CB76FBEB6E128,,2006,Chinese Government provides CFA 2.3 billion grant for Oyo Water Supply Project,1,1,aiddata,aiddata:1060,source_record,no_cross_source_amount_selected_or_summed
SRC-59EC7288CE5623,,2006,China funds scholarships for 30 Congolese students,1,1,aiddata,aiddata:1076,source_record,no_cross_source_amount_selected_or_summed
SRC-5B9D5350FF8C21,,2006,Chinese government awards scholarships to 11 students to study in China,1,1,aiddata,aiddata:56355,source_record,no_cross_source_amount_selected_or_summed
SRC-849361299DDF67,,2006,"China Eximbank provides $69 million loan for Mambili Bridge Construction Project (Linked to Record ID#60219, #72791, #12892)",1,1,aiddata,aiddata:72792,source_record,no_cross_source_amount_selected_or_summed
SRC-A606B652B7D321,,2006,China Eximbank provides RMB 250 million government concessional loan for MA60 Aircraft Acquisition Project,1,1,aiddata,aiddata:1074,source_record,no_cross_source_amount_selected_or_summed
SRC-D2087E3B162371,,2006,China Eximbank provides $45 million loan for August 15 Camp Housing Units Construction Project (Linked to Record ID#60219),1,1,aiddata,aiddata:68883,source_record,no_cross_source_amount_selected_or_summed
SRC-F5241C92E1C13C,,2006,China Eximbank provides $53 million loan for Ollombo Airport Construction Project (Linked to Record ID#60219),1,1,aiddata,aiddata:59241,source_record,no_cross_source_amount_selected_or_summed
SRC-F83F74E1F33B0F,,2006,China donates office equipment to Central African Republic Ministry of Education,1,1,aiddata,aiddata:56354,source_record,no_cross_source_amount_selected_or_summed
PM-15E7773D7D7764,,2007,"Chinese Government dispatches 19th medical team to Makélékélé Reference Hospital, Talangaï Hospital, and Loandjili General Hospital",2,2,aiddata|chapo,aiddata:36335|chapo:36335,direct_reference,no_cross_source_amount_selected_or_summed
PM-87CB45A9DB2228,,2007,China donates anti-malarial drugs to the Central African Republic government,2,2,aiddata|chapo,aiddata:55728|chapo:55728,direct_reference,no_cross_source_amount_selected_or_summed
SRC-1596B9C517AA66,,2007,"China Eximbank provides $84 million loan for Les Saras-Mvou Section of the Pointe-Noire-Brazzaville Road (RN1) Construction Project (Linked to Record ID#60219, ID#68874, ID#72780, ID#72782, ID#369)",1,1,aiddata,aiddata:72781,source_record,no_cross_source_amount_selected_or_summed
SRC-1F900C4BDFFD71,,2007,Chinese Government commits 1.9 billion CFA general budget support grant via ETCA in January 2007,1,1,aiddata,aiddata:56373,source_record,no_cross_source_amount_selected_or_summed
SRC-24064B5688A158,,2007,Chinese Government cancels $32 million of the Republic of Congo's outstanding obligations,1,1,aiddata,aiddata:59550,source_record,no_cross_source_amount_selected_or_summed
SRC-380151424CD1F9,,2007,Chinese Government provides $1.5 million general budget support grant to help CAR address ‘pressing needs’ in November 2007 (Linked to Record ID#56373),1,1,aiddata,aiddata:73292,source_record,no_cross_source_amount_selected_or_summed
SRC-4320B80B96E6B3,,2007,Chinese Government provides CFA 2 billion grant for University of Marien Ngouabi Library Construction Project,1,1,aiddata,aiddata:18223,source_record,no_cross_source_amount_selected_or_summed
SRC-43B21E248C0448,,2007,China donates of office equipment to the Congolese Ministry of Foreign Affairs,1,1,aiddata,aiddata:30514,source_record,no_cross_source_amount_selected_or_summed
SRC-4F549C25670363,,2007,China Eximbank provides $81 million loan for Phase 1 of Maya-Maya International Airport Project (Linked to Record ID#60219 and #141),1,1,aiddata,aiddata:161,source_record,no_cross_source_amount_selected_or_summed
SRC-58A925E9E6CA82,,2007,"China Eximbank provides $84 million loan for Malélé-Les Saras Section of the Pointe-Noire-Brazzaville Road (RN1) Construction Project (Linked to Record ID#60219, ID#68874, ID#72781, ID#72782, ID#369)",1,1,aiddata,aiddata:72780,source_record,no_cross_source_amount_selected_or_summed
SRC-650385DA6785F6,,2007,"China Eximbank provides $74 million loan for Mvou-Dolisie Section of the Pointe-Noire-Brazzaville Road (RN1) Construction Project (Linked to Record ID#60219, ID#68874, ID#72780, ID#72781, ID#369)",1,1,aiddata,aiddata:72782,source_record,no_cross_source_amount_selected_or_summed
SRC-6BB95C3870B617,,2007,China Eximbank provides $81 million loan for Djiri Water Treatment Plant Rehabilitation Project (Linked to Record ID#60219),1,1,aiddata,aiddata:69336,source_record,no_cross_source_amount_selected_or_summed
SRC-94A87ABA47A325,,2007,Chinese Government provides grant for Chinese Radio and Television Broadcasting Project,1,1,aiddata,aiddata:57558,source_record,no_cross_source_amount_selected_or_summed
SRC-9D25D22A0CD3CB,,2007,Chinese government donates 10 million yuan to build two rural primary schools,1,1,aiddata,aiddata:56262,source_record,no_cross_source_amount_selected_or_summed
SRC-B54F0E82492C31,,2007,Chinese embassy donates two digital cameras to Central African Television (Tvca),1,1,aiddata,aiddata:56387,source_record,no_cross_source_amount_selected_or_summed
SRC-CDA9062D4E8A2E,,2007,Chinese Government cancels 5.5 billion CAF of the Government of CAR’s outstanding debt obligations,1,1,aiddata,aiddata:55460,source_record,no_cross_source_amount_selected_or_summed
SRC-CE5F281965BED5,,2007,"China Eximbank provides $85 million loan for Pointe Noire-Malélé Section of the Pointe-Noire-Brazzaville Road (RN1) Construction Project (Linked to Record ID#60219, ID#72780, ID#72781, ID#72782, ID#369)",1,1,aiddata,aiddata:68874,source_record,no_cross_source_amount_selected_or_summed
SRC-D4D5D91443BC14,,2007,Chinese Government provides $3.8 million interest-free loan for unspecified purposes,1,1,aiddata,aiddata:383,source_record,no_cross_source_amount_selected_or_summed
SRC-D9582576D5608F,,2007,CIDCA Interest-Free Loan,1,1,cla,cla:CF.005,source_record,no_cross_source_amount_selected_or_summed
SRC-E28A2FCC825F47,,2007,China Eximbank provides $84 million loan for Phase 1 (Obouya-Boundji-Okoyo Section) of Obouya-Gabon Border Road (RN3) Construction Project (Linked to Record ID#68956 and #60219),1,1,aiddata,aiddata:14829,source_record,no_cross_source_amount_selected_or_summed
SRC-F6D669263FA32C,,2007,Chinese government donates office equipment to the Ministry of the General Secretariat of the Government,1,1,aiddata,aiddata:56527,source_record,no_cross_source_amount_selected_or_summed
PM-6EF1FD135A811A,,2008,Chinese Government dispatches 13th Chinese medical team to the Friendship Hospital in Bangui (Linked to Record ID#87603),2,2,aiddata|chapo,aiddata:36229|chapo:36229,direct_reference,no_cross_source_amount_selected_or_summed
PM-CFE3BF7DF4FD17,,2008,Chinese Government provides grant for establishment of anti-malarial center,2,2,aiddata|chapo,aiddata:34915|chapo:34915,direct_reference,no_cross_source_amount_selected_or_summed
PM-E7915E9AC403EF,,2008,China donates medical equipment and anti-malaria drugs to Anti-Malarial Center,2,2,aiddata|chapo,aiddata:30523|chapo:30523,direct_reference,no_cross_source_amount_selected_or_summed
PM-F3CBB6FF6EC7BC,,2008,Chinese Government donates equipment worth RMB 1 million to Central African Republic for 13th medical team (Linked to Record ID#36229),2,2,aiddata|chapo,aiddata:87603|chapo:87603,direct_reference,no_cross_source_amount_selected_or_summed
SRC-172817A2A7555B,,2008,Chinese Government provides grant for TV Broadcasting Center Capacity Building Project (Linked to Record ID#56361 and #386),1,1,aiddata,aiddata:56363,source_record,no_cross_source_amount_selected_or_summed
SRC-24112E1280010E,,2008,Chinese government provides RMB 40 million for Agricultural Technology Demonstration Center Construction Project (Linked to Record ID#72959),1,1,aiddata,aiddata:59183,source_record,no_cross_source_amount_selected_or_summed
SRC-386A757A6CE193,,2008,Chinese Government provides funding for Phase 4 of Alphonse-Massamba Debate Stadium Technical Cooperation Project (Linked to Record ID#32011 and #73775),1,1,aiddata,aiddata:57779,source_record,no_cross_source_amount_selected_or_summed
SRC-3D641096EDDC3C,,2008,China Eximbank provides loan for Alima Palace Hotel Construction Project,1,1,aiddata,aiddata:57887,source_record,no_cross_source_amount_selected_or_summed
SRC-669E824D302B32,,2008,"Chinese Government donates cars, computers, printers, and office equipment worth $450,000 to CAR’s Ministry of Economy, Planning and International Cooperation",1,1,aiddata,aiddata:55423,source_record,no_cross_source_amount_selected_or_summed
SRC-76D2CCAF31D879,,2008,Chinese government donates office supplies to government of Central African Republic,1,1,aiddata,aiddata:56241,source_record,no_cross_source_amount_selected_or_summed
SRC-7B1911AE1D0D6A,,2008,"All-China Women's Federation donate 300,000 RMB to the Congo Assistance Foundation",1,1,aiddata,aiddata:30512,source_record,no_cross_source_amount_selected_or_summed
SRC-8910D56FAC8C50,,2008,Chinese Government provides grant for Rural Primary School Construction Project (Linked to Record ID#59301),1,1,aiddata,aiddata:1071,source_record,no_cross_source_amount_selected_or_summed
SRC-B32E91F24FA899,,2008,"China Eximbank provides $70 million loan for Phase 1 of National Telecommunication Coverage Project (Linked to Record ID#30497, #60219, #57529, #57531, and #68940)",1,1,aiddata,aiddata:57477,source_record,no_cross_source_amount_selected_or_summed
SRC-CFFFA23ACA9252,,2008,Chinese government donates office supplies to Central African Republic Ministry of Communication,1,1,aiddata,aiddata:56385,source_record,no_cross_source_amount_selected_or_summed
SRC-E623F676CBFE31,,2008,Chinese Government funds Boyali National Farm Technical Cooperation Project (Linked to Record ID#55537),1,1,aiddata,aiddata:55538,source_record,no_cross_source_amount_selected_or_summed
SRC-EC8CCD1887EF11,,2008,Chinese Government provides 3.9 billion CFA grant for rehabilitation of national radio transmitting center,1,1,aiddata,aiddata:386,source_record,no_cross_source_amount_selected_or_summed
SRC-F977C120DFADF1,,2008,China agrees to finance a feasibility study for the construction of administrative buildings in Central African Republic,1,1,aiddata,aiddata:56460,source_record,no_cross_source_amount_selected_or_summed
PM-4F412A9652E2D3,,2009,Chinese Government provides grant worth CFA 3.5 billion for construction of hospitals,2,2,aiddata|chapo,aiddata:452|chapo:452,direct_reference,no_cross_source_amount_selected_or_summed
PM-5D75F866941EB7,,2009,Chinese government donates a batch of anti-malaria drugs to Republic of Congo,2,2,aiddata|chapo,aiddata:68488|chapo:68488,direct_reference,no_cross_source_amount_selected_or_summed
PM-64E7011325466E,,2009,China donates 4th batch of anti-malaria drugs to Central African Republic,2,2,aiddata|chapo,aiddata:56234|chapo:56234,direct_reference,no_cross_source_amount_selected_or_summed
PM-88D64EFE41C816,,2009,Chinese antimalarial experts train students and medical personnel in Central African Republic (linked to Record ID#56296),2,2,aiddata|chapo,aiddata:56299|chapo:56299,direct_reference,no_cross_source_amount_selected_or_summed
