project_match_id,member_count,source_count,sources,country_iso3,year,member_record_keys,group_basis
PM-B2783B906AC18E,2,2,aiddata|chapo,MUS,2021,aiddata:92241|chapo:92241,direct_reference
PM-49FC8669EBE291,2,2,aiddata|chapo,MWI,2008,aiddata:35417|chapo:35417,direct_reference
PM-8EABD4BFADE12A,2,2,cla|codf,MWI,2009,cla:MW.001|codf:MW.001,automatic_high_confidence
PM-E0118736CC4CD8,2,2,aiddata|chapo,MWI,2009,aiddata:58150|chapo:58150,direct_reference
PM-B140ABDDB6C039,2,2,aiddata|chapo,MWI,2010,aiddata:58142|chapo:58142,direct_reference
PM-9A2A3E64AF7469,2,2,aiddata|chapo,MWI,2011,aiddata:23346|chapo:23346,direct_reference
PM-CAF15C41480BA0,2,2,cla|codf,MWI,2011,cla:MW.002|codf:MW.002,automatic_high_confidence
PM-237CF33303D37D,2,2,cla|codf,MWI,2012,cla:MW.003|codf:MW.003,automatic_high_confidence
PM-23F88816EC765B,2,2,aiddata|chapo,MWI,2013,aiddata:35021|chapo:35021,direct_reference
PM-5B4EF0F2CEDABF,2,2,aiddata|chapo,MWI,2013,aiddata:58110|chapo:58110,direct_reference
PM-B00D1023F30B2D,2,2,aiddata|chapo,MWI,2013,aiddata:57763|chapo:57763,direct_reference
PM-551B27D6B9D5FF,2,2,aiddata|chapo,MWI,2014,aiddata:57762|chapo:57762,direct_reference
PM-19F4F45FAC8F9D,2,2,aiddata|chapo,MWI,2015,aiddata:58015|chapo:58015,direct_reference
PM-A40D494CB433FF,2,2,aiddata|chapo,MWI,2015,aiddata:58092|chapo:58092,direct_reference
PM-C7538B08E1050C,2,2,aiddata|chapo,MWI,2015,aiddata:57704|chapo:57704,direct_reference
PM-2AEC0808104575,2,2,aiddata|chapo,MWI,2016,aiddata:58652|chapo:58652,direct_reference
PM-51705DD7430EDA,2,2,aiddata|chapo,MWI,2017,aiddata:58010|chapo:58010,direct_reference
PM-9BC9D33FD192B9,2,2,aiddata|chapo,MWI,2017,aiddata:57601|chapo:57601,direct_reference
PM-D2183B1DEB2268,2,2,aiddata|chapo,MWI,2017,aiddata:58016|chapo:58016,direct_reference
PM-DED2321A18F81D,2,2,aiddata|chapo,MWI,2017,aiddata:58630|chapo:58630,direct_reference
PM-F32362F048C3C2,2,2,aiddata|chapo,MWI,2017,aiddata:58260|chapo:58260,direct_reference
PM-ACCC22425D29B4,2,2,aiddata|chapo,MWI,2018,aiddata:57919|chapo:57919,direct_reference
PM-B3A27DE3C39255,2,2,aiddata|chapo,MWI,2018,aiddata:57899|chapo:57899,direct_reference
PM-47F73FBFC2EAE6,2,2,aiddata|chapo,MWI,2019,aiddata:57900|chapo:57900,direct_reference
PM-5B7BC6334A7F1A,2,2,aiddata|chapo,MWI,2019,aiddata:57764|chapo:57764,direct_reference
PM-858051756B5B94,2,2,aiddata|cla,MWI,2019,aiddata:69255|cla:MW.026,automatic_high_confidence
PM-13E4647972AEF2,2,2,aiddata|chapo,MWI,2020,aiddata:92587|chapo:92587,direct_reference
PM-163DC883D4547A,2,2,aiddata|chapo,MWI,2020,aiddata:98138|chapo:98138,direct_reference
PM-1C5E1C2968CDC4,2,2,cla|codf,MWI,2020,cla:MW.018|codf:MW.018,automatic_high_confidence
PM-2906FFDBD03931,2,2,aiddata|chapo,MWI,2020,aiddata:92586|chapo:92586,direct_reference
PM-5FF8CB3BA96989,2,2,aiddata|chapo,MWI,2020,aiddata:92593|chapo:92593,direct_reference
PM-708665B5D84DFB,2,2,aiddata|chapo,MWI,2020,aiddata:92589|chapo:92589,direct_reference
PM-8B1BFDF6AA4366,2,2,aiddata|chapo,MWI,2020,aiddata:92590|chapo:92590,direct_reference
