candidate_id,left_record_key,right_record_key,country_iso3,year,similarity,status,review_decision,method,left_title,right_title
MC-043EF062ED0F34,cla:TG.032,codf:TG.032,TGO,2016,1.0,auto_high_confidence,,normalized_title_sequence_token_v1,"Lome International Airport, Phase II, Expansion","Lome International Airport, Phase II, Expansion"
MC-046B023375CB4A,cla:GQ.041,codf:GQ.041,GNQ,2015,1.0,auto_high_confidence,,normalized_title_sequence_token_v1,Ceiba-2 Submarine Cable System,Ceiba-2 Submarine Cable System
MC-04AC3AB997FC1E,aiddata:91987,chapo:91987,ZWE,2020,1,direct_reference,confirmed_by_source_id,source_cross_reference,Chinese medical team donates 17th batch of medical supplies in June 2020 to Zimbabwe,Team donated 17th batch of medical supplies
MC-04AEC0B5841932,cgef:AO.089.44,codf:AO.089.44,AGO,2016,1.0,auto_high_confidence,,normalized_title_sequence_token_v1,"Huambo City Electrification (17,500 Home Connections)","Huambo City Electrification (17,500 Home Connections)"
MC-04B154FDD48C40,aiddata:95869,chapo:95869,ETH,2021,1,direct_reference,confirmed_by_source_id,source_cross_reference,"Chinese Government donates 200,000 Sinovac Covid-19 vaccine doses worth $3.6 million in August 2021",Gov't donates Sinovac Covid-19 vaccine doses
MC-04BE5194F41216,cla:MU.032,codf:MU.032,MUS,2018,1.0,auto_high_confidence,,normalized_title_sequence_token_v1,Safe City Project,Safe City Project
MC-04BFC6CEE7E734,aiddata:1277,chapo:1277,KEN,2010,1,direct_reference,confirmed_by_source_id,source_cross_reference,Chinese Peace Ark offers free medical service to Kenya,Chinese Peace Ark offers free med. service
MC-04D12A9F1C7074,aiddata:20569,chapo:20569,SDN,2007,1,direct_reference,confirmed_by_source_id,source_cross_reference,Construction of Heglig Hospital,Construction of heglig hospital
MC-04DD219B4AEB87,aiddata:14020,chapo:14020,TUN,2002,1,direct_reference,confirmed_by_source_id,source_cross_reference,"Chinese Government dispatches 15th medical team to Jendouba, Sidi Bouzid, Kébil, and Tunis (Linked to Record ID#35605, #35604, #35603, #12970, #19565, #31082, #35585, #56660, and #56661)","Gov't dispatched 15th team to Jendouba, Sidi Bouzid, Kébil, & Tunis"
MC-04E81BFFB2D40A,aiddata:62401,chapo:62401,GNQ,2017,1,direct_reference,confirmed_by_source_id,source_cross_reference,"China donates 720,000 RMB worth of medical equipment to Equatorial Guinea",Donates medical equipment
MC-050CEE6333C98D,aiddata:94257,chapo:94257,EGY,2021,1,direct_reference,confirmed_by_source_id,source_cross_reference,The Chinese People's Liberation Army donated an unknown value of COVID-19 vaccines to the Egyptian Army,Chinese People's Liberation Army donates Covid-19 vaccines
MC-053872C33F9055,cla:ET.044,codf:ET.044,ETH,2014,1.0,auto_high_confidence,,normalized_title_sequence_token_v1,Dire Dawa-Dewalle Road (220km),Dire Dawa-Dewalle Road (220km)
MC-0543ED6890AC25,cgp:GN.002.1,cla:GN.007,GIN,2018,1,direct_reference,confirmed_by_source_id,source_cross_reference,Souapiti Hydropower Plant,Souapiti Hydropower Plant (450MW)
MC-054F8A2448A974,aiddata:34155,chapo:34155,MUS,2009,1,direct_reference,confirmed_by_source_id,source_cross_reference,"Chinese Government provides RMB 32 million grant for New Operation Theatre and Wards Block at Victoria Hospital Project (Linked to Record ID#67620, #34156, #1325, #56280)",Gov't provided grant for new operation at hospital
MC-05638E852B40B3,aiddata:35428,chapo:35428,SSD,2011,1,direct_reference,confirmed_by_source_id,source_cross_reference,China provides anti-malaria medicine to South Sudan,China provided anti-Malaria medicine to South Sudan
MC-058619E182B287,aiddata:66579,chapo:66579,BDI,2007,1,direct_reference,confirmed_by_source_id,source_cross_reference,Chinese Government provides RMB 1 million grant for second batch of anti-malarial drugs,Gov't provides grant for anti-Malarial drugs
MC-0588AABD329884,cgef:ZW.086,codf:ZW.086,ZWE,2013,1.0,reviewed,same_project,normalized_title_sequence_token_v1,Kariba South Hydropower Plant (300MW) (Preferential Export Buyer's Credit),Kariba South Hydropower Plant (300MW) (Preferential Export Buyer's Credit)
MC-0599D3111B6FA3,aiddata:60078,chapo:60078,UGA,2006,1,direct_reference,confirmed_by_source_id,source_cross_reference,"China donates anti-malaria drugs worth US $253 million in 2006 (Linked to Record ID#63793, #34837)",China donated anti-Malaria drugs
MC-059C91702DE882,cgp:UG.001.3,cla:UG.009,UGA,2014,1,direct_reference,confirmed_by_source_id,source_cross_reference,Isimba Falls Hydropower Plant,Isimba Falls Hydropower Plant (183MW)
MC-05DD8C91DE7149,aiddata:66116,chapo:66116,CIV,2012,1,direct_reference,confirmed_by_source_id,source_cross_reference,Chinese Government provides CFA 335 million grant for Malaria Research and Control Center Rehabilitation Project (Linked to Record ID#718),Gov't provides grant
MC-05E8713646F4CC,aiddata:61418,chapo:61418,TZA,2015,1,direct_reference,confirmed_by_source_id,source_cross_reference,China donates medical equipment worth 30 million TZS to Dodoma Hospital in Tanzania,China donated med. equipment to dodoma hospital
MC-060A7201C12240,aiddata:93123,chapo:93123,TCD,2021,1,direct_reference,confirmed_by_source_id,source_cross_reference,"Chinese Government donates 200,000 Sinopharm Covid-19 vaccine doses worth $3.6 million in June 2021",Gov't donates Sinopharm Covid-19 vaccine
MC-0621F2E1715E40,cla:ZM.057,codf:ZM.057,ZMB,2017,1.0,auto_high_confidence,,normalized_title_sequence_token_v1,"Communication Towers Project (Smart Zambia/Zambia ICT Project), Phase 2","Communication Towers Project (Smart Zambia/Zambia ICT Project), Phase 2"
MC-0624DA98080C4A,cgef:AO.089.47,codf:AO.089.47,AGO,2016,1.0,reviewed,same_project,normalized_title_sequence_token_v1,"Cabinda City Electrification (20,000 Household Connections)","Cabinda City Electrification (30,000 Household Connections)"
MC-0632DC4F3DD4E8,aiddata:58595,chapo:58595,SSD,2018,1,direct_reference,confirmed_by_source_id,source_cross_reference,China's 5th medical team donated medical equipments to South Sudan (Linked to Record ID#59017),5th team donated medical equipments
MC-06410BD1F22954,aiddata:35621,chapo:35621,UGA,2009,1,direct_reference,confirmed_by_source_id,source_cross_reference,14th Chinese medical team,14th team sent
MC-065FB37C031049,aiddata:88020,chapo:88020,SLE,2006,1,direct_reference,confirmed_by_source_id,source_cross_reference,"China provides $4,000 USD for 150 cataract surgeries under Bright Journey Project in Sierra Leone",China provided funds for cataract surgeries under project
